Variable / Field Name,Form Name,,,
highchol_year,ffccs_survey,,,
cardio_year,ffccs_survey,,,
heartattack_year,ffccs_survey,,,
stroke_year,ffccs_survey,,,
anemia_year,ffccs_survey,,,
celia_year,ffccs_survey,,,
hepatitis_year,ffccs_survey,,,
liver_year,ffccs_survey,,,
crohns_year,ffccs_survey,,,
colitis_year,ffccs_survey,,,
ibs_year,ffccs_survey,,,
galactosemia_year,ffccs_survey,,,
diabetes_year,ffccs_survey,,,
insomnia_year,ffccs_survey,,,
migranes_year,ffccs_survey,,,
fibromyalgia_year,ffccs_survey,,,
fatigue_year,ffccs_survey,,,
ms_year,ffccs_survey,,,
tbi_year,ffccs_survey,,,
kidney_year,ffccs_survey,,,
other_disease_year,ffccs_survey,,,
life_scan,ffccs_survey,,,
skin_check,ffccs_survey,,,
hair_meds,ffccs_survey,,,
hair_meds_3mos,ffccs_survey,,,
hair_meds_reason,ffccs_survey,,,
psa_ever,ffccs_survey,,,
psa_reason,ffccs_survey,,,
other_psa_reason,ffccs_survey,,,
chest_xray,ffccs_survey,,,
chest_xray_reason,ffccs_survey,,,
ct_scan_ever,ffccs_survey,,,
ct_chest,ffccs_survey,,,
ct_scan_lung_cancer,ffccs_survey,,,
ulcerative_colitis_5d0b3b,ffccs_survey,,,
colonoscopy_ever,ffccs_survey,,,
colonoscopy_10_years,ffccs_survey,,,
colonoscopy_reason,ffccs_survey,,,
other_colonoscopy_reason,ffccs_survey,,,
sigmoid_ever,ffccs_survey,,,
sigmoid_5_years,ffccs_survey,,,
sigmoid_reason,ffccs_survey,,,
other_sigmoid_reason,ffccs_survey,,,
endo_ever,ffccs_survey,,,
endo_reason,ffccs_survey,,,
other_endo_reason,ffccs_survey,,,
polyp_10yrs,ffccs_survey,,,
stool_tests_home,ffccs_survey,,,
past_year_stool_test,ffccs_survey,,,
stool_test_reason,ffccs_survey,,,
other_stool_test_reason,ffccs_survey,,,
told_about_stool_tests,ffccs_survey,,,
blood_stool,ffccs_survey,,,
lose_20_lbs,ffccs_survey,,,
hpv_vaccine,ffccs_survey,,,
aspirin_weekly,ffccs_survey,Medication and Supplements,,
aspirin_3mos,ffccs_survey,,,
hrt_ever,ffccs_survey,,,
hrt_age,ffccs_survey,,,
hrt_current,ffccs_survey,,,
hrt_stop,ffccs_survey,,,
hrt_years,ffccs_survey,,,
hrt_type,ffccs_survey,,,
taking_peds,ffccs_survey,,,
other_peds,ffccs_survey,,,
thyroid_meds_current,ffccs_survey,,,
tamoxifen_current,ffccs_survey,,,
taking_otc_supps,ffccs_survey,,,
otc_supps_check,ffccs_survey,,,
otc_supps_list,ffccs_survey,,,
taking_prescrib,ffccs_survey,,,
taking_prescribe_list,ffccs_survey,,,
medication_1,ffccs_survey,,,
medication_2,ffccs_survey,,,
medication_3,ffccs_survey,,,
medication_4,ffccs_survey,,,
medication_5,ffccs_survey,,,
medication_reason_1,ffccs_survey,,,
medication_reason_2,ffccs_survey,,,
medication_reason_3,ffccs_survey,,,
medication_reason_4,ffccs_survey,,,
medication_reason_5,ffccs_survey,,,
medication_start_1,ffccs_survey,,,
medication_start_2,ffccs_survey,,,
medication_start_3,ffccs_survey,,,
medication_start_4,ffccs_survey,,,
medication_start_5,ffccs_survey,,,
history_donation,ffccs_survey,Blood and Plasma Donation,,
blood_frequency,ffccs_survey,In the PAST YEAR how often do you donate blood and/or plasma? (select one in each column),,
plasma_frequency,ffccs_survey,,,
blood_last,ffccs_survey,When was the last time you donated blood and/or plasma? (select one in each column) ,,
plasma_last,ffccs_survey,,,
type_donate,ffccs_survey,,,
ever_smoked,ffccs_survey,Section I: TOBACCO AND ALCOHOL USE,,
smoked_100_cigs,ffccs_survey,,,
smoke_age,ffccs_survey,,,
smoke_current,ffccs_survey,,,
smoke_daily,ffccs_survey,,,
smoke_years,ffccs_survey,,,
smoke_quitage,ffccs_survey,,,
smoke_quitreason,ffccs_survey,,,
smoke_past,ffccs_survey,,,
smokeless_tobacco,ffccs_survey,,,
smokeless_tobacco_life,ffccs_survey,,,
smokeless_tobacco_use,ffccs_survey,,,
smokeless_tobacco_days,ffccs_survey,,,
nicotine_current_use,ffccs_survey,,,
cigar_use,ffccs_survey,How often have you used the following products?,,
pipe_use,ffccs_survey,,,
ecig_use,ffccs_survey,,,
hookah_use,ffccs_survey,,,
marijuana_use,ffccs_survey,,,
smokeless_use,ffccs_survey,,,
smoke_exposchil,ffccs_survey,,,
smoke_exposadult,ffccs_survey,,,
smoke_exposhome,ffccs_survey,,,
smoke_exposhome_mos,ffccs_survey,,,
smoke_exposwork,ffccs_survey,,,
smoke_exposwork_mos,ffccs_survey,,,
alcohol_numdrinks,ffccs_survey,,,
alcohol_average,ffccs_survey,,,
alcohol_times_men,ffccs_survey,,,
alcohol_times_women,ffccs_survey,,,
ff_subgroup,ffccs_subgroups_survey,,,
instructor,ffccs_subgroups_survey,,,
employ_status,ffccs_subgroups_survey,,,
other_employ_status,ffccs_subgroups_survey,,,
also_work_role,ffccs_subgroups_survey,,,
other_also_work_role,ffccs_subgroups_survey,,,
aver_hours_work_firei,ffccs_subgroups_survey,,,
work_sched,ffccs_subgroups_survey,,,
other_work_sched,ffccs_subgroups_survey,,,
type_agency,ffccs_subgroups_survey,,,
other_type_agency,ffccs_subgroups_survey,,,
fire_training_title,ffccs_subgroups_survey,,,
other_fire_training_title,ffccs_subgroups_survey,,,
years_work_fireinstruct,ffccs_subgroups_survey,,,
type_train_instuct,ffccs_subgroups_survey,,,
ppe_during_training,ffccs_subgroups_survey,,,
other_type_train_instuct,ffccs_subgroups_survey,,,
other_ppe_during_training,ffccs_subgroups_survey,,,
feq_ppe_wear,ffccs_subgroups_survey,,,
feq_ppe_wash,ffccs_subgroups_survey,,,
other_feq_ppe_wash,ffccs_subgroups_survey,,,
feq_ppe_wear_2,ffccs_subgroups_survey,,,
feq_ppe_wash_2,ffccs_subgroups_survey,,,
other_feq_ppe_wash_2,ffccs_subgroups_survey,,,
feq_ppe_wear_3,ffccs_subgroups_survey,,,
feq_ppe_wash_3,ffccs_subgroups_survey,,,
other_feq_ppe_wash_3,ffccs_subgroups_survey,,,
feq_ppe_wear_4,ffccs_subgroups_survey,,,
feq_ppe_wash_4,ffccs_subgroups_survey,,,
other_feq_ppe_wash_4,ffccs_subgroups_survey,,,
feq_ppe_wear_5,ffccs_subgroups_survey,,,
feq_ppe_wash_5,ffccs_subgroups_survey,,,
other_feq_ppe_wash_5,ffccs_subgroups_survey,,,
feq_ppe_wear_6,ffccs_subgroups_survey,,,
feq_ppe_wash_6,ffccs_subgroups_survey,,,
other_feq_ppe_wash_6,ffccs_subgroups_survey,,,
feq_ppe_wear_7,ffccs_subgroups_survey,,,
feq_ppe_wash_7,ffccs_subgroups_survey,,,
other_feq_ppe_wash_7,ffccs_subgroups_survey,,,
feq_ppe_wear_8,ffccs_subgroups_survey,,,
feq_ppe_wash_8,ffccs_subgroups_survey,,,
other_feq_ppe_wash_8,ffccs_subgroups_survey,,,
feq_ppe_wear_9,ffccs_subgroups_survey,,,
feq_ppe_wash_9,ffccs_subgroups_survey,,,
other_feq_ppe_wash_9,ffccs_subgroups_survey,,,
feq_ppe_wear_10,ffccs_subgroups_survey,,,
feq_ppe_wash_10,ffccs_subgroups_survey,,,
other_feq_ppe_wash_10,ffccs_subgroups_survey,,,
feq_ppe_wear_11,ffccs_subgroups_survey,,,
feq_ppe_wash_11,ffccs_subgroups_survey,,,
other_feq_ppe_wash_11,ffccs_subgroups_survey,,,
feq_ppe_wear_12,ffccs_subgroups_survey,,,
feq_ppe_wash_12,ffccs_subgroups_survey,,,
other_feq_ppe_wash_12,ffccs_subgroups_survey,,,
feq_ppe_wear_13,ffccs_subgroups_survey,,,
feq_ppe_wash_13,ffccs_subgroups_survey,,,
other_feq_ppe_wash_13,ffccs_subgroups_survey,,,
feq_ppe_wear_14,ffccs_subgroups_survey,,,
feq_ppe_wash_14,ffccs_subgroups_survey,,,
other_feq_ppe_wash_14,ffccs_subgroups_survey,,,
feq_ppe_wear_15,ffccs_subgroups_survey,,,
feq_ppe_wash_15,ffccs_subgroups_survey,,,
other_feq_ppe_wash_15,ffccs_subgroups_survey,,,
feq_ppe_wear_16,ffccs_subgroups_survey,,,
feq_ppe_wash_16,ffccs_subgroups_survey,,,
other_feq_ppe_wash_16,ffccs_subgroups_survey,,,
feq_ppe_wear_17,ffccs_subgroups_survey,,,
feq_ppe_wash_17,ffccs_subgroups_survey,,,
other_feq_ppe_wash_17,ffccs_subgroups_survey,,,
transpost_ppe_method,ffccs_subgroups_survey,,,
other_transpost_ppe_method,ffccs_subgroups_survey,,,
store_ppe_method,ffccs_subgroups_survey,,,
other_store_ppe_method,ffccs_subgroups_survey,,,
store_ppe_method_2,ffccs_subgroups_survey,,,
other_store_ppe_method_2,ffccs_subgroups_survey,,,
training_fac_access,ffccs_subgroups_survey,,,
other_training_fac_access,ffccs_subgroups_survey,,,
after_fire_decon,ffccs_subgroups_survey,,,
skinwipes_decon,ffccs_subgroups_survey,,,
rehab,ffccs_subgroups_survey,,,
all_live_trainburns_partic,ffccs_subgroups_survey,,,
other_all_live_trainburns_partic,ffccs_subgroups_survey,,,
number_burns,ffccs_subgroups_survey,,,
number_burns_2,ffccs_subgroups_survey,,,
number_burns_3,ffccs_subgroups_survey,,,
number_burns_4,ffccs_subgroups_survey,,,
number_burns_5,ffccs_subgroups_survey,,,
number_burns_6,ffccs_subgroups_survey,,,
hours_diesel,ffccs_subgroups_survey,,,
live_fire_train_day_per_mo,ffccs_subgroups_survey,,,
live_fire_number_per_day,ffccs_subgroups_survey,,,
materials_fire,ffccs_subgroups_survey,,,
other_materials_fire,ffccs_subgroups_survey,,,
perform_live,ffccs_subgroups_survey,,,
other_perform_live,ffccs_subgroups_survey,,,
symp_post_livefire,ffccs_subgroups_survey,,,
other_symp_post_livefire,ffccs_subgroups_survey,,,
